[K] 	 [W m-2 sr-1] 
2760.0	196763.84187469629
2780.0	206121.9313022483
2800.0	215792.32455607402
2820.0	225780.2931029246
2840.0	236091.0611293933
2860.0	246729.80344063338
2880.0	257701.6434486604
2900.0	269011.65124971804
2920.0	280664.8417900534
2940.0	292666.1731193249
2960.0	305020.54473074735
2980.0	317732.795986976
3000.0	330807.7046306308
3020.0	344249.98537827184
3040.0	358064.28859655774
3060.0	372255.19905923825
3080.0	386827.2347835711
3100.0	401784.84594468644
3120.0	417132.41386637255
3140.0	432874.2500867048
3160.0	449014.59549690055
3180.0	465557.61955174303
3200.0	482507.41954989056
3220.0	499868.01998235553
3240.0	517643.3719474231
3260.0	535837.3526302559
3280.0	554453.764845425
3300.0	573496.3366405922
3320.0	592968.7209595725
3340.0	612874.4953629954
3360.0	633217.1618047922
3380.0	654000.1464627397
3400.0	675226.799621297
3420.0	696900.3956049891
3440.0	719024.1327605916
3460.0	741601.1334864028
3480.0	764634.4443068947
3500.0	788127.0359910569
3520.0	812081.8037127721
3540.0	836501.5672515797
3560.0	861389.0712322133
3580.0	886746.9854013192
3600.0	912577.9049397917
3620.0	938884.3508091879
3640.0	965668.7701307173
3660.0	992933.5365953218
3680.0	1020680.9509034046
3700.0	1048913.2412327826
3720.0	1077632.5637334844
3740.0	1106841.0030480318
3760.0	1136540.5728558856
3780.0	1166733.216440766
3800.0	1197420.807279584
3820.0	1228605.149651766
3840.0	1260287.979267771
3860.0	1292470.9639156407
3880.0	1325155.7041244595
3900.0	1358343.7338436202
3920.0	1392036.521136833
3940.0	1426235.4688898507
3960.0	1460941.9155309005
3980.0	1496157.135762858
4000.0	1531882.3413062193
4020.0	1568118.6816519708
4040.0	1604867.2448234651
4060.0	1642129.058146468
4080.0	1679905.0890265442
4100.0	1718196.245732998
4120.0	1757003.378188605
4140.0	1796327.2787643922
4160.0	1836168.6830787743
4180.0	1876528.2708003414
4200.0	1917406.6664536642
4220.0	1958804.4402274769
4240.0	2000722.1087846304
4260.0	2043160.136073239
4280.0	2086118.9341384678
4300.0	2129598.863934419
4320.0	2173600.2361356122
4340.0	2218123.311947567
4360.0	2263168.303916027
4380.0	2308735.37673437
4400.0	2354824.648048789
4420.0	2401436.18926083
4440.0	2448570.02632691
4460.0	2496226.140554436
4480.0	2544404.469394185
4500.0	2593104.9072286184
4520.0	2642327.306155797
4540.0	2692071.4767686254
4560.0	2742337.1889291266
4580.0	2793124.1725374814
4600.0	2844432.1182955983
4620.0	2896260.67846496
4640.0	2948609.467618534
4660.0	3001478.063386545
4680.0	3054866.007195896
4700.0	3108772.805003083
4720.0	3163197.92802041
4740.0	3218140.8134353636
4760.0	3273600.8651229874
4780.0	3329577.4543511393
4800.0	3386069.9204784897
4820.0	3443077.571645158
4840.0	3500599.6854558787
4860.0	3558635.5096556083
4880.0	3617184.262797479
4900.0	3676245.134903032
4920.0	3735817.288114651
4940.0	3795899.857340158
4960.0	3856491.9508894873
4980.0	3917592.651103424
5000.0	3979201.0149743464
5020.0	4041316.0747589576
5040.0	4103936.8385829707
5060.0	4167062.291037742
5080.0	4230691.39376882
5100.0	4294823.086056436
5120.0	4359456.285387889
5140.0	4424589.888021887
5160.0	4490222.769544804
5180.0	4556353.785418889
5200.0	4622981.771522445
5220.0	4690105.544682004
5240.0	4757723.903196501
5260.0	4825835.627353523
5280.0	4894439.479937616
5300.0	4963534.206730718
5320.0	5033118.5370047605
5340.0	5103191.184006466
5360.0	5173750.845434399
5380.0	5244796.203908318
5400.0	5316325.927430876
5420.0	5388338.669841738
5440.0	5460833.071264153
5460.0	5533807.758544048
5480.0	5607261.345681721
5500.0	5681192.434256157
5520.0	5755599.613842071
5540.0	5830481.462419726
5560.0	5905836.546777589
5580.0	5981663.422907902
5600.0	6057960.63639524
5620.0	6134726.722798117
5640.0	6211960.2080237195
5660.0	6289659.608695841
5680.0	6367823.4325160915
5700.0	6446450.178618446
5720.0	6525538.337917224
5740.0	6605086.393448564
5760.0	6685092.8207054855
5780.0	6765556.087966577
5800.0	6846474.656618439
5820.0	6927846.981471922
5840.0	7009671.511072255
5860.0	7091946.68800313
5880.0	7174670.949184831
5900.0	7257842.726166493
5920.0	7341460.445412528
5940.0	7425522.52858336
5960.0	7510027.392810497
